# Updated: 2026-06-08 11:50:46
# Criteria: Visited 3 or more times in the last 30 days
# 포맷: 차량번호,텔레그램_채팅ID,입차알림,출차임박알림,설명
차량번호,텔레그램_채팅ID,입차알림,출차임박알림,설명
01루6631,,1,1,일반
139누6601,,1,1,일반
13모3406,,1,1,일반
153가8147,,1,1,일반
155하8590,,1,1,일반
15서9807,,1,1,일반
160허9973,,1,1,일반
162하8067,,1,1,일반
162호4678,,1,1,일반
165하3717,,1,1,일반
177허6474,,1,1,일반
183하2365,,1,1,일반
183하6939,,1,1,일반
183하6998,,1,1,일반
190호2724,,1,1,일반
192호1364,,1,1,일반
200로1944,,1,1,일반
210너5345,,1,1,일반
229머3906,,1,1,일반
229무2368,,1,1,일반
233고5547,,1,1,일반
241다8905,,1,1,일반
27거7384,,1,1,일반
30두1931,,1,1,일반
360버8577,,1,1,일반
369조8357,,1,1,일반
